timestamp,sensorId,kalmanMs,differentiatorMs,dspPipelineMs,totalMs
2026-01-14T10:15:32.682Z,010-20081219114010,0.176,0.001,0.077,0.255
2026-01-14T10:15:44.761Z,010-20081219114010,0.164,0.001,0.074,0.240
2026-01-14T10:15:56.916Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:16:08.972Z,010-20081219114010,0.168,0.001,0.074,0.244
2026-01-14T10:16:21.008Z,010-20081219114010,0.160,0.001,0.070,0.232
2026-01-14T10:16:33.084Z,010-20081219114010,0.169,0.001,0.075,0.245
2026-01-14T10:16:45.156Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:16:57.209Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:17:09.270Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:17:21.325Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T10:17:33.391Z,010-20081219114010,0.168,0.001,0.074,0.244
2026-01-14T10:17:45.542Z,010-20081219114010,0.164,0.001,0.071,0.236
2026-01-14T10:17:57.624Z,010-20081219114010,0.168,0.001,0.073,0.243
2026-01-14T10:18:09.668Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:18:21.716Z,010-20081219114010,0.160,0.001,0.070,0.231
2026-01-14T10:18:33.782Z,010-20081219114010,0.166,0.001,0.075,0.242
2026-01-14T10:18:45.861Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:18:57.905Z,010-20081219114010,0.169,0.001,0.073,0.244
2026-01-14T10:19:09.950Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T10:19:22.015Z,010-20081219114010,0.157,0.001,0.070,0.229
2026-01-14T10:19:34.175Z,010-20081219114010,0.170,0.001,0.074,0.246
2026-01-14T10:19:46.213Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:19:58.252Z,010-20081219114010,0.162,0.001,0.073,0.237
2026-01-14T10:20:10.286Z,010-20081219114010,0.181,0.001,0.075,0.257
2026-01-14T10:20:22.329Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:20:34.391Z,010-20081219114010,0.170,0.001,0.076,0.248
2026-01-14T10:20:46.440Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:20:58.493Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T10:21:10.744Z,010-20081219114010,0.165,0.001,0.075,0.242
2026-01-14T10:21:22.781Z,010-20081219114010,0.163,0.001,0.071,0.237
2026-01-14T10:21:34.866Z,010-20081219114010,0.179,0.001,0.080,0.261
2026-01-14T10:21:46.994Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:21:59.110Z,010-20081219114010,0.167,0.001,0.075,0.243
2026-01-14T10:22:11.191Z,010-20081219114010,0.169,0.001,0.078,0.249
2026-01-14T10:22:23.989Z,010-20081219114010,0.169,0.001,0.075,0.246
2026-01-14T10:22:36.054Z,010-20081219114010,0.174,0.001,0.078,0.254
2026-01-14T10:22:48.086Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:23:00.141Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:23:12.184Z,010-20081219114010,0.163,0.001,0.092,0.257
2026-01-14T10:23:24.338Z,010-20081219114010,0.166,0.001,0.077,0.244
2026-01-14T10:23:36.409Z,010-20081219114010,0.171,0.001,0.075,0.248
2026-01-14T10:23:48.648Z,010-20081219114010,0.165,0.001,0.073,0.239
2026-01-14T10:24:00.671Z,010-20081219114010,0.168,0.001,0.074,0.244
2026-01-14T10:24:12.694Z,010-20081219114010,0.166,0.001,0.074,0.242
2026-01-14T10:24:24.743Z,010-20081219114010,0.165,0.001,0.073,0.240
2026-01-14T10:24:36.821Z,010-20081219114010,0.167,0.001,0.075,0.244
2026-01-14T10:24:48.970Z,010-20081219114010,0.162,0.001,0.071,0.234
2026-01-14T10:25:01.012Z,010-20081219114010,0.161,0.001,0.072,0.234
2026-01-14T10:25:13.053Z,010-20081219114010,0.164,0.001,0.077,0.242
2026-01-14T10:25:25.084Z,010-20081219114010,0.165,0.001,0.072,0.238
2026-01-14T10:25:37.149Z,010-20081219114010,0.172,0.001,0.075,0.249
2026-01-14T10:25:49.178Z,010-20081219114010,0.164,0.001,0.072,0.237
2026-01-14T10:26:01.226Z,010-20081219114010,0.161,0.001,0.072,0.235
2026-01-14T10:26:13.268Z,010-20081219114010,0.163,0.001,0.075,0.240
2026-01-14T10:26:25.304Z,010-20081219114010,0.163,0.001,0.074,0.239
2026-01-14T10:26:37.476Z,010-20081219114010,0.172,0.001,0.079,0.252
2026-01-14T10:26:49.524Z,010-20081219114010,0.166,0.001,0.072,0.240
2026-01-14T10:27:01.600Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:27:13.633Z,010-20081219114010,0.160,0.001,0.071,0.233
2026-01-14T10:27:25.670Z,010-20081219114010,0.180,0.001,0.084,0.266
2026-01-14T10:27:37.681Z,010-20081219114010,0.176,0.001,0.078,0.256
2026-01-14T10:27:49.663Z,010-20081219114010,0.175,0.001,0.076,0.253
2026-01-14T10:28:01.661Z,010-20081219114010,0.161,0.001,0.072,0.235
2026-01-14T10:28:13.617Z,010-20081219114010,0.159,0.001,0.071,0.231
2026-01-14T10:28:25.709Z,010-20081219114010,0.162,0.001,0.075,0.239
2026-01-14T10:28:37.707Z,010-20081219114010,0.163,0.001,0.073,0.237
2026-01-14T10:28:49.686Z,010-20081219114010,0.161,0.001,0.073,0.235
2026-01-14T10:29:01.665Z,010-20081219114010,0.170,0.001,0.076,0.248
2026-01-14T10:29:13.630Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:29:25.615Z,010-20081219114010,0.160,0.001,0.071,0.233
2026-01-14T10:29:37.619Z,010-20081219114010,0.169,0.001,0.074,0.244
2026-01-14T10:29:49.584Z,010-20081219114010,0.159,0.001,0.070,0.231
2026-01-14T10:30:01.565Z,010-20081219114010,0.183,0.001,0.072,0.257
2026-01-14T10:30:13.641Z,010-20081219114010,0.155,0.001,0.070,0.226
2026-01-14T10:30:25.625Z,010-20081219114010,0.160,0.001,0.071,0.233
2026-01-14T10:30:37.651Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:30:49.617Z,010-20081219114010,0.156,0.001,0.071,0.229
2026-01-14T10:31:01.605Z,010-20081219114010,0.165,0.001,0.074,0.240
2026-01-14T10:31:13.584Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T10:31:25.573Z,010-20081219114010,0.159,0.001,0.072,0.232
2026-01-14T10:31:37.574Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:31:49.546Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T10:32:01.627Z,010-20081219114010,0.160,0.001,0.072,0.233
2026-01-14T10:32:13.614Z,010-20081219114010,0.161,0.001,0.071,0.233
2026-01-14T10:32:25.593Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:32:37.604Z,010-20081219114010,0.166,0.001,0.073,0.240
2026-01-14T10:32:49.587Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:33:01.572Z,010-20081219114010,0.158,0.001,0.071,0.231
2026-01-14T10:33:13.539Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:33:25.533Z,010-20081219114010,0.160,0.001,0.070,0.232
2026-01-14T10:33:37.522Z,010-20081219114010,0.163,0.001,0.073,0.237
2026-01-14T10:33:49.582Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:34:01.584Z,010-20081219114010,0.162,0.001,0.073,0.237
2026-01-14T10:34:13.552Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:34:25.556Z,010-20081219114010,0.166,0.001,0.074,0.242
2026-01-14T10:34:37.564Z,010-20081219114010,0.169,0.001,0.073,0.244
2026-01-14T10:34:49.559Z,010-20081219114010,0.158,0.001,0.071,0.231
2026-01-14T10:35:01.571Z,010-20081219114010,0.166,0.001,0.073,0.240
2026-01-14T10:35:13.528Z,010-20081219114010,0.162,0.001,0.070,0.233
2026-01-14T10:35:25.509Z,010-20081219114010,0.163,0.001,0.075,0.240
2026-01-14T10:35:37.622Z,010-20081219114010,0.168,0.001,0.076,0.246
2026-01-14T10:35:49.598Z,010-20081219114010,0.158,0.001,0.071,0.231
2026-01-14T10:36:01.584Z,010-20081219114010,0.165,0.001,0.074,0.241
2026-01-14T10:36:13.541Z,010-20081219114010,0.161,0.001,0.071,0.233
2026-01-14T10:36:25.534Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T10:36:37.556Z,010-20081219114010,0.166,0.001,0.075,0.242
2026-01-14T10:36:49.535Z,010-20081219114010,0.162,0.001,0.076,0.240
2026-01-14T10:37:01.518Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:37:13.487Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T10:37:25.567Z,010-20081219114010,0.163,0.001,0.071,0.236
2026-01-14T10:37:37.591Z,010-20081219114010,0.165,0.001,0.075,0.242
2026-01-14T10:37:49.558Z,010-20081219114010,0.155,0.001,0.069,0.225
2026-01-14T10:38:01.575Z,010-20081219114010,0.161,0.001,0.072,0.234
2026-01-14T10:38:13.556Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:38:25.542Z,010-20081219114010,0.162,0.001,0.073,0.236
